date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:21	5564/5564	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Mar%202021%2004:19:20%20GMT	https://www.senbokuhome.co.jp/robots.txt		(from )
13:19:21	51336/51336	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Mar%202021%2004:19:20%20GMT	https://www.senbokuhome.co.jp/	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/index.html	(from )
13:19:22	92984/92984	---MC-	200	added ('OK')	application/javascript	date:Mon,%2029%20Mar%202021%2004:19:21%20GMT	https://www.googleoptimize.com/optimize.js?id=GTM-T6FHMBM	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.googleoptimize.com/optimize0e6c.js	(from https://www.senbokuhome.co.jp/)
13:19:22	1150/1150	---M--	200	added ('OK')	text/plain	date:Fri,%2022%20Feb%202019%2006:10:16%20GMT	https://www.senbokuhome.co.jp/common/img/favicon.ico	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/common/img/favicon.ico	(from https://www.senbokuhome.co.jp/)
13:19:22	6908/6908	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Mar%202020%2008:42:00%20GMT	https://www.senbokuhome.co.jp/common/img/icon.png	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/common/img/icon.png	(from https://www.senbokuhome.co.jp/)
13:19:22	1729/1729	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Feb%202019%2006:10:23%20GMT	https://www.senbokuhome.co.jp/common/js/lib/slick/slick.css	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/common/js/lib/slick/slick.css	(from https://www.senbokuhome.co.jp/)
13:19:23	3145/3145	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Feb%202019%2006:10:23%20GMT	https://www.senbokuhome.co.jp/common/js/lib/slick/slick-theme.css	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/common/js/lib/slick/slick-theme.css	(from https://www.senbokuhome.co.jp/)
13:19:23	76764/76764	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Jan%202021%2005:21:13%20GMT	https://www.senbokuhome.co.jp/common/css/common.css	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/common/css/common.css	(from https://www.senbokuhome.co.jp/)
13:19:23	3483/3483	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Feb%202019%2006:10:23%20GMT	https://www.senbokuhome.co.jp/common/js/lib/simplyscroll/jquery.simplyscroll.css	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/common/js/lib/simplyscroll/jquery.simplyscroll.css	(from https://www.senbokuhome.co.jp/)
13:19:23	74022/74022	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Feb%202021%2006:21:37%20GMT	https://www.senbokuhome.co.jp/css/style.css?v=20200918	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/css/style9e33.css	(from https://www.senbokuhome.co.jp/)
13:19:24	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2029%20Mar%202021%2004:19:23%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.googletagmanager.com/gtm.85445.delayed	(from https://www.senbokuhome.co.jp/)
13:19:24	18150/18150	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Mar%202021%2004:19:24%20GMT	https://www.senbokuhome.co.jp/[a:https://www.googletagmanager.com/ns.html?id=GTM-TM9DJHT]%22https://www.googletagmanager.com/ns.html?id=GTM-TM9DJHT%22	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/[a_https_/www.googletagmanager.com/ns.9bbdc.delayed	(from https://www.senbokuhome.co.jp/)
13:19:27	941/941	---M--	200	added ('OK')	image/png	date:Fri,%2001%20May%202020%2001:37:28%20GMT	https://www.senbokuhome.co.jp/common/img/icon_reserve.png	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/common/img/icon_reserve.png	(from https://www.senbokuhome.co.jp/)
